id,photo,web_name,team_code,status,code,first_name,second_name,squad_number,news,now_cost,news_added,chance_of_playing_this_round,chance_of_playing_next_round,value_form,value_season,cost_change_start,cost_change_event,cost_change_start_fall,cost_change_event_fall,in_dreamteam,dreamteam_count,selected_by_percent,form,transfers_out,transfers_in,transfers_out_event,transfers_in_event,loans_in,loans_out,loaned_in,loaned_out,total_points,event_points,points_per_game,ep_this,ep_next,special,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,element_type,team
1,11334.jpg,Cech,3,a,11334,Petr,Cech,1,,47,2018-09-29T17:31:14Z,100,100,0.0,5.1,-3,0,3,0,FALSE,0,1.1,0.0,136211,83497,0,0,0,0,0,0,24,0,3.4,0.5,0.5,FALSE,585,0,0,1,9,0,0,0,0,0,27,3,130,205.0,0.0,0.0,20.4,0,1,1
2,80201.jpg,Leno,3,a,80201,Bernd,Leno,19,,49,NA,NA,NA,0.7,21.6,-1,0,1,0,FALSE,1,4.0,3.3,250834,339095,0,0,0,0,0,0,106,3,3.3,3.8,3.7,FALSE,2835,0,0,6,42,0,0,0,0,0,105,5,568,807.2,0.0,0.0,80.5,0,1,1
3,51507.jpg,Koscielny,3,a,51507,Laurent,Koscielny,6,,54,2019-05-03T08:31:19Z,100,100,0.1,11.5,-1,0,1,0,FALSE,1,0.9,0.3,92187,128478,0,0,0,0,0,0,62,1,3.6,0.8,2.7,FALSE,1329,3,0,3,23,0,0,0,1,0,0,8,319,456.4,29.5,105.0,59.1,0,2,1
4,98745.jpg,Bellerín,3,i,98745,Héctor,Bellerín,2,Knee injury - Unknown return date,53,2019-01-19T20:01:19Z,0,0,0.0,11.3,-2,0,2,0,FALSE,0,4.5,0.0,1143684,567084,0,0,0,0,0,0,60,0,3.2,0.0,0.0,FALSE,1532,0,5,4,21,1,0,0,3,0,0,5,304,261.6,197.8,280.0,73.7,0,2,1
5,38411.jpg,Monreal,3,a,38411,Nacho,Monreal,18,,54,2019-04-28T10:31:25Z,100,100,0.5,14.3,-1,0,1,0,FALSE,1,1.3,2.7,290921,298216,0,0,0,0,0,0,77,2,3.5,3.2,3.3,FALSE,1860,1,4,5,24,0,0,0,5,0,0,7,392,413.2,196.6,224.0,83.4,0,2,1
6,156074.jpg,Holding,3,i,156074,Rob,Holding,16,Anterior cruciate ligament  - Expected back 05 Jun,43,2018-12-05T23:01:16Z,0,0,0.0,5.6,-2,0,2,0,FALSE,0,0.4,0.0,62227,39919,0,0,0,0,0,0,24,0,2.4,0.0,0.0,FALSE,806,0,0,1,10,0,0,0,1,0,0,5,148,187.8,28.7,14.0,23.2,0,2,1
7,69140.jpg,Mustafi,3,a,69140,Shkodran,Mustafi,20,,54,2019-02-03T20:31:19Z,100,100,0.2,14.8,-1,0,1,0,FALSE,0,1.3,1.3,156608,139286,0,0,0,0,0,0,80,2,2.6,1.8,2.3,FALSE,2611,2,0,6,40,0,0,0,9,0,0,5,475,718.6,106.0,252.0,107.8,0,2,1
8,111457.jpg,Kolasinac,3,a,111457,Sead,Kolasinac,31,,49,2019-05-10T00:01:20Z,75,100,0.1,16.5,-1,0,1,0,FALSE,1,5.4,0.7,668369,946558,0,0,0,0,0,0,81,0,3.4,0.9,1.0,FALSE,1886,0,7,5,29,1,0,0,5,0,0,10,382,323.2,445.9,242.0,101.0,0,2,1
10,233963.jpg,Mavropanos,3,a,233963,Konstantinos,Mavropanos,27,,47,2019-03-29T15:31:20Z,100,100,0.1,0.6,-3,0,3,0,FALSE,0,0.1,0.3,10884,2603,0,0,0,0,0,0,3,1,0.8,0.8,0.7,FALSE,147,0,0,0,1,0,0,0,1,0,0,0,28,27.0,14.1,10.0,5.2,0,2,1
11,27335.jpg,Lichtsteiner,3,a,27335,Stephan,Lichtsteiner,12,,45,2019-02-24T17:31:21Z,100,100,0.2,3.1,-5,0,5,0,FALSE,0,0.8,1.0,119320,28754,0,0,0,0,0,0,14,2,1.0,1.5,0.7,FALSE,935,0,0,0,18,0,0,0,3,0,0,0,89,113.0,61.1,23.0,20.0,0,2,1
